source_id,solution_id,ra,dec,wavelength,flux,flux_error,combined_transits,combined_ccds,deblended_ccds
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.11,0.9004762,0.006503114,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.12,0.92953247,0.006664155,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.13,0.95347744,0.0064923083,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.14,0.9696587,0.0061854282,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.15,0.978692,0.005678343,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.16,0.9858194,0.0069528897,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.17,0.991719,0.0065035685,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.18,1.0021732,0.006326379,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.19,1.0087005,0.0074563767,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.2,1.0079967,0.006556993,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.21,1.0076345,0.005820201,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.22,1.0069287,0.005494672,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.23,1.0016711,0.00588678,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.24,0.99310553,0.0059965923,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.25,0.99371654,0.0062271915,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.26,1.0023453,0.0063295644,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.27,1.0064425,0.0053816224,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.28,1.0073726,0.0057428037,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.29,1.002034,0.0060465406,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,847.3,0.9976566,0.006415923,16,38,10
